country,city,lat,lon,mentions
México,Parral,31.7692821,-106.5173088,146
México,Recursos Naturales,19.4371909,-99.1800033,145
México,Semarnat,19.6788315,-101.2252989,144
México,Ciudad Victoria,23.7389846,-99.1441352,143
México,Nicaragua,11.2755716,-84.6654165,142
México,Palestina,25.052939,-105.1732343,142
México,Petróleos Mexicanos,23.2200238,-106.4049597,142
México,Teatro Del Pueblo,20.2289682,-98.9999095,141
México,El Sol,19.5553716,-98.2842207,141
México,Arabia Saudita,20.5647861,-103.1369354,139
México,La India,27.6383663,-105.0079466,138
México,Monreal,22.1127086,-100.9897853,137
México,Yemen,19.7308332,-101.169111,136
México,Quito,-0.2373151,-78.5116499,136
México,Norteamérica,25.6885,-100.4757022,135
México,Estados,19.768611,-98.038056,134
México,Sistema De Transporte Colectivo,19.4289128,-99.1448331,134
México,Virgo,25.6828844,-100.2024598,134
México,Tokio,25.6460376,-100.2869454,134
México,Mercado Libre,17.0647899,-96.7178548,133
México,Educación Pública,22.7431776,-102.5023309,133
México,Huixquilucan,19.3701838,-99.3581568,132
México,Sudáfrica,28.6736719,-106.0340172,130
México,Tepeaca,18.9680556,-97.9025,130
México,Relaciones Exteriores,19.3306962,-99.1082428,129
México,Puerto Rico,18.6207141,-91.9399192,128
México,Nueva Zelanda,25.8300954,-97.5571976,127
México,Educación,19.335412,-99.1321437,127
México,República Dominicana,25.6899095,-100.3585557,126
México,Huauchinango,20.1782494,-98.0490728,124
México,Dallas,19.2953782,-99.1324941,123
México,Cozumel,20.4320599,-86.9206906,123
México,Sistema Cutzamala,19.2619369,-100.1506022,123
México,Teherán,19.9305999,-96.8504854,123
México,Eua,39.1697626,-91.8829484,120
México,El Niño,32.506272,-116.7932075,118
México,El Paso,19.5560303,-100.355701,118
México,Medellín,18.9923146,-96.1377405,118
México,Nevada,20.9646737,-103.8850228,117
México,Chetumal,18.5024381,-88.2957948,116
México,Tecamachalco,18.8640574,-97.7282334,116
México,Angelópolis,19.0171709,-98.2523812,114
México,América Del Norte,25.7001296,-100.2413693,113
México,Estado De Morelos,22.394673,-105.451425,113
México,Chimalhuacán,19.4177511,-98.9575169,113
México,Chapultepec,19.2010018,-99.5619998,112
México,Reynosa,26.0928368,-98.2779499,112
México,Zapopan,20.7211203,-103.3913671,111
México,México-Pachuca,19.5661525,-99.0532067,110
México,Carolina Del Norte,22.0112606,-98.9887234,109
México,Damasco,17.1634131,-91.6027438,108
México,Grecia,15.804989,-92.40707,108
México,Jamaica,19.4094101,-99.1219076,108
México,Banorte,19.4257105,-98.9116823,108
México,Portugal,20.7282735,-101.9609581,108
México,Foro Sol,19.4050224,-99.0955714,106
México,Corte Suprema,19.4198886,-99.0880611,106
México,Mar Rojo,25.6732034,-100.4542906,106
México,San Cristóbal De Las Casas,16.735377,-92.63873,105
México,Tapachula,14.9258055,-92.3221957,105
México,Aeropuerto Internacional Felipe Ángeles,19.743769,-99.0105702,105
México,Autódromo Hermanos Rodríguez,19.4062448,-99.094593,102
México,Col,19.166667,-104.0,102
México,Zócalo De La Ciudad De México,19.4325,-99.1322452,102
México,Polanco,19.43353,-99.190915,101
México,Saltillo,25.4230425,-100.9927509,101
México,Gobernador,19.6876609,-101.1641606,101
México,Sspc,21.4766811,-104.855638,101
México,Palacio Municipal,19.3515654,-97.1487795,101
México,Zacatlán,19.9605952,-98.0057214,100
México,Instituto Mexicano Del Seguro Social,19.4231241,-99.1726396,98
México,Vaticano,21.2394884,-102.3224854,98
México,Distrito Federal,19.3207722,-99.1514678,98
México,Tizayuca,19.8525794,-98.9592703,98
México,Fgj,19.4490584,-99.1949129,98
México,Beirut,17.8038758,-91.5416747,97
México,Michigan,18.9864892,-98.2077487,97
México,Inapam,18.8484371,-97.100526,97
México,Meoqui,28.3583942,-105.5215257,96
México,Acatzingo,19.0301833,-97.76376,95
México,Matamoros,25.8810158,-97.5064866,95
México,Jerusalén,16.1797693,-91.3797513,95
México,Bilbao,20.5786235,-103.4420734,95
México,Tailandia,19.4268084,-99.0923385,94
México,Kansas City,39.332023,-94.7104393,93
México,Badajoz,25.780933,-100.3163493,93
México,Palacio,21.4423812,-101.2508717,93
México,Uaeméx,19.2749985,-99.6571639,93
México,Medio Ambiente,19.4371909,-99.1800033,93
México,Gobierno De Puebla,18.9568206,-98.2655749,93
México,Pekín,26.9419385,-105.6840421,93
México,Edoméx,19.4839446,-99.6899716,92
México,Zongolica,18.6518293,-96.9457504,92
México,Actopan,19.5609208,-96.5291228,92
México,Géminis,25.6320586,-100.2788089,91
México,La Mixteca,24.4199165,-99.1938615,91
México,Veracruz-Boca Del Río,19.1342287,-96.1061978,91
México,Distrito,19.3207722,-99.1514678,90
México,Sudamérica,25.6856463,-100.355572,90
México,Metrobús,19.4882045,-99.1152817,89
México,Perote,19.5108641,-97.2685345,89
México,Santa Fe,19.3610393,-99.2612571,89
México,Guayaquil,29.9672206,-115.0979243,89
